year,px,py,tachid,ekid
2002,139.3624575,35.72836625,6.620419018,0.834965694
2003,139.3624575,35.72836625,6.620419018,0.834965694
2004,139.3624575,35.72836625,6.620419018,0.834965694
2005,139.3624575,35.72836625,6.620419018,0.834965694
2006,139.3624575,35.72836625,6.620419018,0.834965694
2007,139.3624575,35.72836625,6.620419018,0.834965694
2008,139.3624575,35.72836625,6.620419018,0.834965694
1999,139.3624575,35.73229223,6.853168953,1.048132247
2000,139.3624575,35.73229223,6.853168953,1.048132247
2001,139.3624575,35.73229223,6.853168953,1.048132247
2002,139.3624575,35.73229223,6.853168953,1.048132247
2003,139.3624575,35.73229223,6.853168953,1.048132247
2004,139.3624575,35.73229223,6.853168953,1.048132247
2005,139.3624575,35.73229223,6.853168953,1.048132247
2006,139.3624575,35.73229223,6.853168953,1.048132247
2007,139.3624575,35.73229223,6.853168953,1.048132247
2008,139.3624575,35.73229223,6.853168953,1.048132247
1999,139.3624575,35.7362182,7.105048606,1.371061258
2000,139.3624575,35.7362182,7.105048606,1.371061258
2001,139.3624575,35.7362182,7.105048606,1.371061258
2002,139.3624575,35.7362182,7.105048606,1.371061258
2003,139.3624575,35.7362182,7.105048606,1.371061258
2004,139.3624575,35.7362182,7.105048606,1.371061258
2005,139.3624575,35.7362182,7.105048606,1.371061258
2006,139.3624575,35.7362182,7.105048606,1.371061258
2007,139.3624575,35.7362182,7.105048606,1.371061258
2008,139.3624575,35.7362182,7.105048606,1.371061258
1999,139.3665101,35.64592075,7.796954757,0.355569864
2000,139.3665101,35.64592075,7.796954757,0.355569864
2001,139.3665101,35.64592075,7.796954757,0.355569864
2002,139.3665101,35.64592075,7.796954757,0.355569864
2003,139.3665101,35.64592075,7.796954757,0.355569864
2004,139.3665101,35.64592075,7.796954757,0.355569864
2005,139.3665101,35.64592075,7.796954757,0.355569864
2006,139.3665101,35.64592075,7.796954757,0.355569864
2007,139.3665101,35.64592075,7.796954757,0.355569864
2008,139.3665101,35.64592075,7.796954757,0.355569864
1999,139.3665101,35.64984673,7.48013239,0.78751856
2000,139.3665101,35.64984673,7.48013239,0.78751856
2001,139.3665101,35.64984673,7.48013239,0.78751856
2002,139.3665101,35.64984673,7.48013239,0.78751856
2003,139.3665101,35.64984673,7.48013239,0.78751856
2004,139.3665101,35.64984673,7.48013239,0.78751856
2005,139.3665101,35.64984673,7.48013239,0.78751856
2006,139.3665101,35.64984673,7.48013239,0.78751856
2007,139.3665101,35.64984673,7.48013239,0.78751856
2008,139.3665101,35.64984673,7.48013239,0.78751856
1999,139.3665101,35.6537727,7.17579765,1.222192827
2000,139.3665101,35.6537727,7.17579765,1.222192827
2001,139.3665101,35.6537727,7.17579765,1.222192827
2002,139.3665101,35.6537727,7.17579765,1.222192827
2003,139.3665101,35.6537727,7.17579765,1.222192827
2004,139.3665101,35.6537727,7.17579765,1.222192827
2005,139.3665101,35.6537727,7.17579765,1.222192827
2006,139.3665101,35.6537727,7.17579765,1.222192827
2007,139.3665101,35.6537727,7.17579765,1.222192827
2008,139.3665101,35.6537727,7.17579765,1.222192827
1999,139.3665101,35.65769868,6.885606548,1.330537419
2000,139.3665101,35.65769868,6.885606548,1.330537419
2001,139.3665101,35.65769868,6.885606548,1.330537419
2002,139.3665101,35.65769868,6.885606548,1.330537419
2003,139.3665101,35.65769868,6.885606548,1.330537419
2004,139.3665101,35.65769868,6.885606548,1.330537419
2005,139.3665101,35.65769868,6.885606548,1.330537419
2006,139.3665101,35.65769868,6.885606548,1.330537419
2007,139.3665101,35.65769868,6.885606548,1.330537419
2008,139.3665101,35.65769868,6.885606548,1.330537419
1999,139.3665101,35.66162465,6.61142174,0.916677922
2000,139.3665101,35.66162465,6.61142174,0.916677922
2001,139.3665101,35.66162465,6.61142174,0.916677922
2002,139.3665101,35.66162465,6.61142174,0.916677922
2003,139.3665101,35.66162465,6.61142174,0.916677922
2004,139.3665101,35.66162465,6.61142174,0.916677922
2005,139.3665101,35.66162465,6.61142174,0.916677922
2006,139.3665101,35.66162465,6.61142174,0.916677922
2007,139.3665101,35.66162465,6.61142174,0.916677922
2008,139.3665101,35.66162465,6.61142174,0.916677922
1999,139.3665101,35.72836625,6.237861702,0.425147172
2000,139.3665101,35.72836625,6.237861702,0.425147172
2001,139.3665101,35.72836625,6.237861702,0.425147172
2002,139.3665101,35.72836625,6.237861702,0.425147172
2003,139.3665101,35.72836625,6.237861702,0.425147172
2004,139.3665101,35.72836625,6.237861702,0.425147172
2005,139.3665101,35.72836625,6.237861702,0.425147172
2006,139.3665101,35.72836625,6.237861702,0.425147172
2007,139.3665101,35.72836625,6.237861702,0.425147172
2008,139.3665101,35.72836625,6.237861702,0.425147172
1999,139.3665101,35.73229223,6.484357743,0.762996471
2000,139.3665101,35.73229223,6.484357743,0.762996471
2001,139.3665101,35.73229223,6.484357743,0.762996471
2002,139.3665101,35.73229223,6.484357743,0.762996471
2003,139.3665101,35.73229223,6.484357743,0.762996471
2004,139.3665101,35.73229223,6.484357743,0.762996471
2005,139.3665101,35.73229223,6.484357743,0.762996471
2006,139.3665101,35.73229223,6.484357743,0.762996471
2007,139.3665101,35.73229223,6.484357743,0.762996471
2008,139.3665101,35.73229223,6.484357743,0.762996471
1999,139.3665101,35.7362182,6.750013803,1.167643516
2000,139.3665101,35.7362182,6.750013803,1.167643516
2001,139.3665101,35.7362182,6.750013803,1.167643516
2002,139.3665101,35.7362182,6.750013803,1.167643516
2003,139.3665101,35.7362182,6.750013803,1.167643516
2004,139.3665101,35.7362182,6.750013803,1.167643516
2005,139.3665101,35.7362182,6.750013803,1.167643516
