px,py,tachid,ekid
139.4029835,35.76762601,7.829622769,1.946656129
139.4070361,35.76762601,7.773741613,1.506326039
139.4110887,35.76762601,7.743631846,1.073906756
139.4394569,35.76762601,8.247734813,0.175808659
139.3948783,35.76370004,7.596491573,2.922248935
139.3989309,35.76370004,7.485007089,2.49192051
139.4029835,35.76370004,7.399235606,2.069904912
139.4070361,35.76370004,7.340078577,1.662544555
139.4110887,35.76370004,7.308182334,1.283866029
139.4151413,35.76370004,7.303904028,0.968131755
139.4191939,35.76370004,7.327292038,0.794327226
139.4232465,35.76370004,7.378083268,0.854015177
139.4272991,35.76370004,7.455717694,1.110152077
139.4313517,35.76370004,7.559368326,1.145636513
139.4354043,35.76370004,7.687982972,0.795115274
139.4394569,35.76370004,7.840333182,0.42936045
139.4110887,35.75977406,6.872775142,1.588446571
139.4151413,35.75977406,6.868225621,1.34615364
139.4191939,35.75977406,6.89309203,1.227112982
139.4232465,35.75977406,6.947058502,1.266567192
139.4272991,35.75977406,7.029454848,1.451650151
139.4313517,35.75977406,7.139296787,1.420574431
139.4354043,35.75977406,7.275341319,1.027722338
139.4394569,35.75977406,7.436150451,0.629421133
139.4110887,35.75584808,6.437418857,1.238943331
139.4151413,35.75584808,6.432561432,1.122654939
139.4191939,35.75584808,6.459105289,1.179168002
139.4232465,35.75584808,6.516666727,1.387526496
139.4272991,35.75584808,6.604434787,1.692551892
139.4313517,35.75584808,6.721226228,1.409907249
139.4354043,35.75584808,6.865560043,0.960774
139.4394569,35.75584808,7.035741391,0.512878581
139.4435095,35.75584808,7.229945275,0.087816465
139.4110887,35.75192211,6.002124558,0.865405762
139.4151413,35.75192211,5.99691456,0.688694901
139.4191939,35.75192211,6.025377897,0.777421207
139.4232465,35.75192211,6.087042212,1.067322038
139.4272991,35.75192211,6.18091389,1.441762277
139.4313517,35.75192211,6.305554669,1.494833167
139.4354043,35.75192211,6.459183568,1.081561105
139.4394569,35.75192211,6.639788746,0.71395531
139.4435095,35.75192211,6.845235302,0.504380289
139.4110887,35.74799613,5.566906784,0.585395556
139.4151413,35.74799613,5.561289074,0.260885974
139.4191939,35.74799613,5.591970201,0.445134315
139.4232465,35.74799613,5.658359729,0.85611749
139.4272991,35.74799613,5.759222903,1.293228243
139.4313517,35.74799613,5.892789799,1.691457422
139.4354043,35.74799613,6.05689725,1.340252378
139.4394569,35.74799613,6.249139663,1.065942868
139.4435095,35.74799613,6.467008449,0.938563525
139.4475621,35.74799613,6.708007123,1.015026263
139.4110887,35.74407015,5.131785005,0.562372697
139.4151413,35.74407015,5.125690429,0.204050446
139.4191939,35.74407015,5.158962777,0.414390699
139.4232465,35.74407015,5.230850889,0.840542831
139.4272991,35.74407015,5.339795376,1.28297092
139.4313517,35.74407015,5.483588042,1.281671274
139.4354043,35.74407015,5.65957335,1.245433985
139.4394569,35.74407015,5.864854024,1.365371708
139.4435095,35.74407015,6.096471478,1.373760449
139.4475621,35.74407015,6.351545148,1.427093058
139.3867731,35.74014418,5.561815154,1.40040423
139.4151413,35.74014418,4.690126101,0.199455133
139.4191939,35.74014418,4.726465635,0.317740681
139.4232465,35.74014418,4.804828977,0.752891402
139.4272991,35.74014418,4.923209839,1.117458138
139.4313517,35.74014418,5.078810715,0.867425913
139.4354043,35.74014418,5.268334744,0.812928208
139.4394569,35.74014418,5.488268688,0.986907473
139.4435095,35.74014418,5.735115077,1.300703649
139.4475621,35.74014418,6.00555628,1.677612332
139.3543523,35.7362182,7.844354849,2.022531197
139.3584049,35.7362182,7.470304852,1.673599742
139.3624575,35.7362182,7.105048606,1.371061258
139.3665101,35.7362182,6.750013803,1.167643516
139.3705627,35.7362182,6.406899914,1.11878654
139.3746153,35.7362182,6.077726238,1.242853489
139.3908257,35.7362182,4.954534325,0.837794249
139.4151413,35.7362182,4.25460663,0.349833129
139.4191939,35.7362182,4.294632946,0.428439037
139.4232465,35.7362182,4.38072782,0.705206578
139.4272991,35.7362182,4.510253858,0.859228385
139.4313517,35.7362182,4.679606075,0.491923209
139.4354043,35.7362182,4.884643867,0.387831149
139.4394569,35.7362182,5.121082691,0.680842925
139.4435095,35.7362182,5.384787803,1.086917987
139.4475621,35.7362182,5.67195742,1.517874785
139.3543523,35.73229223,7.616962124,1.678961904
139.3584049,35.73229223,7.231159214,1.421164428
139.3624575,35.73229223,6.853168953,1.048132247
139.3665101,35.73229223,6.484357743,0.762996471
139.3705627,35.73229223,6.12638356,0.685897628
139.3746153,35.73229223,5.781259831,0.873760281
139.3786679,35.73229223,5.451427746,1.208787836
139.3827205,35.73229223,5.139832025,1.135528685
139.3867731,35.73229223,4.849988819,0.72844867
139.3908257,35.73229223,4.586024355,0.420189323
139.3948783,35.73229223,4.352649395,0.476644732
139.3989309,35.73229223,4.155021499,0.826154263
139.4029835,35.73229223,3.998444709,1.24200687
139.4070361,35.73229223,3.88788195,1.188650747
139.4110887,35.73229223,3.827323027,0.73890216
139.4151413,35.73229223,3.819147364,0.289433479
139.4191939,35.73229223,3.863687506,0.080067233
139.4232465,35.73229223,3.959164715,0.50059827
139.4272991,35.73229223,4.102023753,0.779518066
139.4313517,35.73229223,4.287530994,0.333711612
139.3543523,35.72836625,7.408247787,1.388167129
139.3584049,35.72836625,7.010969039,1.272122177
139.3624575,35.72836625,6.620419018,0.834965694
139.3665101,35.72836625,6.237861702,0.425147172
139.3705627,35.72836625,5.864861362,0.262758556
139.3746153,35.72836625,5.503361564,0.601700533
139.3786679,35.72836625,5.155781972,1.029443799
139.3827205,35.72836625,4.825131762,1.069532387
139.3867731,35.72836625,4.515131762,0.620573604
139.3908257,35.72836625,4.230324179,0.176162422
139.3948783,35.72836625,3.976126259,0.28576972
139.3989309,35.72836625,3.758753375,0.732806249
139.4029835,35.72836625,3.58491051,1.181970895
139.4070361,35.72836625,3.461163003,1.259546894
139.4110887,35.72836625,3.392996438,0.848259502
139.4151413,35.72836625,3.383771544,0.507286427
139.4191939,35.72836625,3.433963369,0.373506815
139.4232465,35.72836625,3.541046246,0.619431358
139.4272991,35.72836625,3.700084072,0.925655271
139.3624575,35.72444027,6.408883328,0.82192973
139.3827205,35.72444027,4.53053353,1.17396249
139.3867731,35.72444027,4.198839407,0.787019694
139.3908257,35.72444027,3.890948497,0.515093778
139.3948783,35.72444027,3.612951366,0.56209673
139.3989309,35.72444027,3.372249172,0.878233112
139.4029835,35.72444027,3.17732921,1.277240619
139.4070361,35.72444027,3.037019407,1.234218928
139.4110887,35.72444027,2.959098237,0.787568807
139.4151413,35.72444027,2.948516136,0.349202551
139.4191939,35.72444027,3.005984359,0.168314436
139.4232465,35.72444027,3.127754156,0.582603304
139.4272991,35.72444027,3.306729455,1.027245346
139.4313517,35.72444027,3.534230163,0.994764415
139.4354043,35.72444027,3.801554358,0.947618487
139.3867731,35.7205143,3.905624685,1.110631653
139.3908257,35.7205143,3.572552592,0.937776236
139.3948783,35.7205143,3.267578521,0.964393801
139.3989309,35.7205143,2.999285964,1.177028491
139.4029835,35.7205143,2.778321926,1.49848132
139.4070361,35.7205143,2.616703783,1.269295942
139.4110887,35.7205143,2.525849201,0.841475164
139.4151413,35.7205143,2.513443697,0.457993719
139.4191939,35.7205143,2.580618876,0.189815509
139.4232465,35.7205143,2.721488173,0.448692657
139.4272991,35.7205143,2.925425012,0.878253839
139.4313517,35.7205143,3.180319899,1.321379598
139.4354043,35.7205143,3.474977317,1.380868785
139.4394569,35.7205143,3.800159151,1.489943854
139.4435095,35.7205143,4.14869393,1.713994256
139.3908257,35.71658832,3.281249473,1.337475022
139.3948783,35.71658832,2.946274847,1.387073301
139.3989309,35.71658832,2.64559679,1.54250219
139.4029835,35.71658832,2.392182854,1.353699623
139.4070361,35.71658832,2.202408857,1.003546381
