year,px,py,y,tachid,ekid,city
1999,139.40814,35.67797,12.4874851,2.299039737,1.600367961,Hino
1999,139.41365,35.67847,12.46071486,2.158742655,1.846707976,Hino
1999,139.38561,35.67893,12.47227569,3.767290791,0.916043637,Hino
1999,139.3795,35.67897,12.50617724,4.343140209,1.390477288,Hino
1999,139.40139,35.67907,12.52815614,2.501423933,0.841677764,Hino
1999,139.40979,35.67996,12.45293272,2.040936732,1.777566327,Hino
1999,139.37769,35.68096,12.37158708,4.42175306,1.106481229,Hino
1999,139.39217,35.68289,12.54610995,2.917836472,0.439581745,Hino
1999,139.3987,35.68385,12.60484877,2.285711756,0.741155151,Hino
1999,139.41737,35.68862,12.67607627,1.107124252,0.908017502,Tachi
1999,139.41401,35.68876,12.6791964,1.016958844,0.975755412,Tachi
1999,139.39375,35.69061,12.41308681,2.362253917,1.25766089,Tachi
1999,139.42746,35.69065,12.65395847,1.723400636,0.481787417,Tachi
1999,139.40508,35.69071,12.66665705,1.2510272,1.210572746,Tachi
1999,139.41362,35.69172,12.90420737,0.688151324,0.64506528,Tachi
1999,139.41634,35.69206,12.81855192,0.710552507,0.680640763,Tachi
1999,139.40322,35.69287,12.70381303,1.29491466,1.255780704,Tachi
1999,139.40986,35.69363,12.87901712,0.641113193,0.596292871,Tachi
1999,139.42115,35.69431,12.78549106,0.914864163,0.341143032,Tachi
1999,139.42829,35.69469,12.6791964,1.654333991,0.496834472,Tachi
1999,139.38999,35.69632,12.43718437,2.642699738,0.913259537,Tachi
1999,139.397,35.69794,12.57071576,1.858697241,0.656966446,Tachi
1999,139.40309,35.69938,12.67294638,1.193670645,1.058399002,Tachi
1999,139.41826,35.70108,12.85317589,0.611830855,0.656387585,Tachi
1999,139.42504,35.70302,12.66032792,1.376074652,1.086427023,Tachi
1999,139.42044,35.70723,12.70684793,1.273483482,0.845824415,Tachi
1999,139.42972,35.70953,12.57071576,2.193258348,1.49189825,Tachi
1999,139.42324,35.71209,12.79939949,1.894338137,0.715784326,Tachi
1999,139.42545,35.71222,12.61153775,2.052512039,0.94510359,Tachi
1999,139.44268,35.71716,12.55320218,3.857458973,1.985093688,Tachi
1999,139.4276,35.71816,12.59133505,2.723666024,0.878196123,Tachi
1999,139.42044,35.71926,12.60148742,2.483745954,0.111968483,Tachi
1999,139.44556,35.72172,12.52815614,4.410557011,1.720676501,Tachi
1999,139.38087,35.72201,12.3327053,4.523735767,1.277306554,Tachi
1999,139.42283,35.72279,12.61153775,2.939390561,0.526131536,Tachi
1999,139.40605,35.72285,12.26434155,2.896955899,1.343352408,Tachi
1999,139.39037,35.72309,12.30591798,3.813258934,0.708744481,Tachi
1999,139.43062,35.72364,12.54966235,3.415551406,1.171548585,Tachi
1999,139.41405,35.72437,12.51722707,2.936901219,0.473898204,Tachi
1999,139.38087,35.72479,12.34147728,4.713086187,1.197638534,Tachi
1999,139.38715,35.72656,12.53896706,4.338474099,0.699467115,Tachi
1999,139.4025,35.72707,12.39255221,3.468120949,1.078940787,Tachi
1999,139.37356,35.7276,12.42520818,5.54479588,0.40206151,Tachi
1999,139.38946,35.72802,12.4292162,4.293898296,0.404331315,Tachi
1999,139.4121,35.72901,12.54610995,3.456138707,0.709482529,Tachi
1999,139.42085,35.72945,12.56723749,3.588199756,0.436425837,Tachi
1999,139.40384,35.73326,12.41308681,4.073982624,1.302317817,Tachi
1999,139.36231,35.73385,12.24047407,6.964329918,1.220284258,Tachi
1999,139.43467,35.73462,13.00132505,4.690082173,0.1576707,HigashiYamato
1999,139.43296,35.73516,12.47609978,4.652671108,0.309723106,HigashiYamato
1999,139.44645,35.73537,12.4049235,5.520064478,1.301313715,HigashiYamato
1999,139.43976,35.73697,12.44508955,5.208844965,0.676943842,HigashiYamato
1999,139.44905,35.73795,12.34583459,5.925149362,1.601338667,HigashiYamato
1999,139.44304,35.73868,12.41308681,5.572157545,1.084623647,HigashiYamato
1999,139.42702,35.73884,12.45293272,4.775925523,1.08234939,HigashiYamato
1999,139.43345,35.74015,12.41714362,5.173607573,0.78893459,HigashiYamato
1999,139.44935,35.74018,12.46071486,6.1343275,1.603892337,HigashiYamato
1999,139.43884,35.7412,12.40081672,5.553354569,0.986102558,HigashiYamato
1999,139.41458,35.74192,12.4292162,4.885713307,0.419048865,HigashiYamato
1999,139.44397,35.74348,12.38002595,6.068980215,1.402410737,HigashiYamato
1999,139.43483,35.74378,12.44901882,5.604054454,1.174904868,HigashiYamato
1999,139.43814,35.74458,12.3883942,5.845227368,1.312047141,HigashiYamato
1999,139.43305,35.7449,12.31492705,5.638571447,1.316086925,HigashiYamato
1999,139.42231,35.74522,12.29682701,5.336456665,0.71886231,HigashiYamato
1999,139.43133,35.74798,12.23076526,5.890453852,1.691047705,HigashiYamato
1999,139.4119,35.74836,12.31940133,5.602973386,0.54392039,HigashiYamato
1999,139.42837,35.74894,12.24529336,5.8923222,1.44436928,HigashiYamato
1999,139.44665,35.75041,12.33710091,6.877092195,0.683488315,HigashiYamato
1999,139.43454,35.75077,12.26434155,6.304347091,1.234001046,HigashiYamato
1999,139.41425,35.75108,12.26434155,5.901576484,0.647391857,HigashiYamato
1999,139.42512,35.75174,12.22096126,6.106661768,1.243760426,HigashiYamato
1999,139.42061,35.75209,12.21602298,6.062010706,0.905688698,HigashiYamato
1999,139.43916,35.75218,12.29225034,6.652022404,0.714457397,HigashiYamato
1999,139.44237,35.75404,12.35449265,6.993562621,0.309493788,HigashiYamato
1999,139.41459,35.7547,12.16525065,6.303875573,1.034964023,HigashiYamato
1999,139.42414,35.75503,12.19095901,6.443685893,1.405823793,HigashiYamato
1999,139.43279,35.75815,12.22587527,7.012764465,1.298908101,HigashiYamato
1999,139.41362,35.75829,12.13350195,6.701960358,1.446751517,HigashiYamato
2000,139.43363,35.60971,12.37158708,10.0358845,1.961915856,Tama
2000,139.42702,35.60976,12.46071486,9.895486593,1.606546193,Tama
2000,139.41933,35.61197,12.45683136,9.560340525,0.994412558,Tama
2000,139.4074,35.61498,12.51355735,9.232442202,0.592015976,Tama
2000,139.44411,35.61717,12.39255221,9.575917349,1.492784353,Tama
2000,139.42756,35.61784,12.49125159,9.019616199,0.834288377,Tama
2000,139.41468,35.61871,12.60148742,8.792288556,0.31791956,Tama
2000,139.43864,35.62615,12.43718437,8.431274191,1.232215481,Tama
2000,139.46241,35.628,12.44114477,9.456190817,1.010689694,Tama
2000,139.44328,35.62849,12.46843691,8.374227224,0.666191493,Tama
2000,139.45516,35.62957,12.5776362,8.870758085,0.648447166,Tama
2000,139.46066,35.63068,12.30591798,9.100194317,1.261931106,Tama
2000,139.4338,35.6309,12.54254488,7.76430875,1.129350706,Tama
2000,139.4515,35.63122,12.44114477,8.507310247,0.279269433,Tama
2000,139.43509,35.63162,12.65714826,7.73103476,1.293128393,Tama
2000,139.46403,35.63273,12.27839331,9.138366931,1.517111001,Tama
2000,139.42952,35.63435,12.36734079,7.269131641,0.880617322,Tama
2000,139.45043,35.63596,12.48370438,7.992201042,0.68170609,Tama
2000,139.44075,35.63677,12.39669301,7.419796831,1.223010472,Tama
2000,139.43112,35.63707,12.37158708,7.023423579,1.177240351,Tama
2000,139.43652,35.63894,12.28765263,7.01737245,1.691258099,Tama
2000,139.46658,35.63991,12.26904744,8.709569593,2.216571437,Tama
2000,139.44014,35.64023,12.37581542,7.042032643,1.34283032,Tama
2000,139.45549,35.64127,12.28303369,7.810880905,1.435875603,Tama
2000,139.44834,35.64136,12.33710091,7.358975778,1.065241811,Tama
2000,139.4239,35.64306,12.23563145,6.192446725,1.067118658,Tama
2000,139.44243,35.64388,12.38421883,6.790580032,0.863106766,Tama
2000,139.38819,35.64451,12.23563145,6.57120729,0.929073583,Hino
2000,139.43094,35.64464,12.4292162,6.214522934,1.434329375,Tama
2000,139.369,35.64555,12.35879373,7.645293772,0.533889391,Hino
2000,139.45113,35.6456,12.56024446,7.137675612,0.791350223,Tama
2000,139.43347,35.64643,12.25961341,6.119991977,1.269314928,Tama
2000,139.46107,35.64695,12.31492705,7.720597982,1.461668329,Tama
2000,139.44737,35.64718,12.49500394,6.75599608,0.411945568,Tama
2000,139.37153,35.64732,12.29682701,7.313886021,0.87747032,Hino
2000,139.36592,35.64734,12.23076526,7.726617049,0.51357581,Hino
2000,139.3857,35.6478,12.43718437,6.374444263,0.571484209,Hino
2000,139.42894,35.64784,12.1388639,5.808369927,1.097617972,Hino
2000,139.4518,35.64834,12.94800999,6.936749049,0.679238137,Tama
2000,139.4482,35.64851,12.64109656,6.686241825,0.331710932,Tama
2000,139.38243,35.6486,12.37158708,6.483889509,0.220205538,Hino
2000,139.44625,35.64907,13.29126191,6.512098173,0.178990609,Tama
2000,139.40799,35.64913,12.30138283,5.452468261,0.486382685,Hino
2000,139.39202,35.64932,12.25961341,5.908138564,0.702292404,Hino
2000,139.44096,35.64947,12.60148742,6.167587643,0.59472438,Tama
2000,139.45209,35.65191,12.52452638,6.647905806,0.673683294,Tama
2000,139.37484,35.653,12.4292162,6.595143147,0.851828989,Hino
2000,139.38246,35.65306,12.43320822,6.069848931,0.608693862,Hino
2000,139.44165,35.65371,12.4874851,5.802890944,0.604595079,Tama
2000,139.41159,35.65392,12.26904744,4.88872417,0.158867385,Hino
2000,139.36303,35.65408,12.35449265,7.44074508,1.275871646,Hino
2000,139.4432,35.65437,12.51355735,5.836084845,0.526102593,Tama
2000,139.38038,35.65442,12.5098741,6.084415427,0.489482933,Hino
2000,139.39814,35.6551,12.25961341,5.057910941,0.572255654,Hino
2000,139.39169,35.65605,12.53177279,5.25263562,0.158216166,Hino
