"year","px","py","y","tachid","ekid"
1999,139.36231,35.73385,12.2404740722475,6.964329918,1.220284258
1999,139.36303,35.65408,12.4130868149145,7.44074508,1.275871646
1999,139.36592,35.64734,12.3282902782544,7.726617049,0.51357581
1999,139.36708,35.65986,12.5425448821514,6.683283049,1.15009398
1999,139.369,35.64555,12.4292161968444,7.645293772,0.533889391
1999,139.37153,35.64732,12.3842188309136,7.313886021,0.87747032
1999,139.37356,35.7276,12.4252081754468,5.54479588,0.40206151
1999,139.37442,35.67324,12.4490188241406,5.153181749,1.269621056
1999,139.37469,35.65397,NA,NA,NA
1999,139.37484,35.653,12.5061772379805,6.595143147,0.851828989
1999,139.3758,35.66297,12.6884987947745,5.725000127,0.697294158
1999,139.37742,35.66859,12.6378550619557,5.181498603,1.140320128
1999,139.37769,35.68096,12.3715870840077,4.42175306,1.106481229
1999,139.3795,35.67897,12.5061772379805,4.343140209,1.390477288
1999,139.37986,35.68166,NA,NA,NA
1999,139.37987,35.66123,13.3212142361495,5.542814311,0.276559917
1999,139.38038,35.65442,12.5913350463208,6.084415427,0.489482933
1999,139.38082,35.64615,NA,NA,NA
1999,139.38087,35.72201,12.3327052964635,4.523735767,1.277306554
1999,139.38087,35.72479,12.3414772825364,4.713086187,1.197638534
1999,139.38243,35.6486,12.4799093111599,6.483889509,0.220205538
1999,139.38246,35.65306,12.5317727851695,6.069848931,0.608693862
1999,139.38403,35.6764,NA,NA,NA
1999,139.38561,35.67893,12.4722756863048,3.767290791,0.916043637
1999,139.38568,35.67143,12.6081988523728,4.283079152,1.262090293
1999,139.3857,35.6478,12.5172270741671,6.374444263,0.571484209
1999,139.38659,35.66871,12.7007688873663,4.426616371,1.293153997
1999,139.38702,35.67862,NA,NA,NA
1999,139.38715,35.72656,12.5389670608035,4.338474099,0.699467115
1999,139.38808,35.66161,12.5532021766254,4.934980697,0.870410438
1999,139.38819,35.64451,12.3458345879053,6.57120729,0.929073583
1999,139.38946,35.72802,12.4292161968444,4.293898296,0.404331315
1999,139.38999,35.69632,12.4371843664936,2.642699738,0.913259537
1999,139.39014,35.66496,12.5707157591181,4.499335538,1.095791219
1999,139.39037,35.72309,12.3059179804999,3.813258934,0.708744481
1999,139.39169,35.65605,12.5845090812504,5.25263562,0.158216166
1999,139.39202,35.64932,12.3673407931263,5.908138564,0.702292404
1999,139.39214,35.66254,NA,NA,NA
1999,139.39217,35.68289,12.5461099483159,2.917836472,0.439581745
1999,139.39279,35.6791,NA,NA,NA
1999,139.39344,35.67349,12.6507584667916,3.525634027,0.649683925
1999,139.39375,35.69061,12.4130868149145,2.362253917,1.25766089
1999,139.397,35.69794,12.5707157591181,1.858697241,0.656966446
1999,139.39707,35.67664,12.6410965558799,3.000175768,0.467006415
1999,139.39728,35.65984,12.5281561446993,4.603850011,0.673308148
1999,139.39814,35.6551,12.3544926506484,5.057910941,0.572255654
1999,139.3987,35.68385,12.6048487654875,2.285711756,0.741155151
1999,139.40139,35.67907,12.5281561446993,2.501423933,0.841677764
1999,139.4025,35.72707,12.3925522124728,3.468120949,1.078940787
1999,139.40309,35.69938,12.672946381767,1.193670645,1.058399002
1999,139.40322,35.69287,12.7038130297475,1.29491466,1.255780704
1999,139.40329,35.67395,12.4799093111599,2.902065889,1.210913383
1999,139.40358,35.72212,NA,NA,NA
1999,139.40384,35.73326,12.4130868149145,4.073982624,1.302317817
1999,139.40427,35.70003,NA,NA,NA
1999,139.40508,35.69071,12.6666570528594,1.2510272,1.210572746
1999,139.4051,35.66762,12.3842188309136,3.49692487,1.175910083
1999,139.40605,35.72285,12.2643415536542,2.896955899,1.343352408
1999,139.40679,35.65639,12.4332082181139,4.673288794,0.857009798
1999,139.4074,35.61498,12.6115377536383,9.232442202,0.592015976
1999,139.40799,35.64913,12.4049235042753,5.452468261,0.377501091
1999,139.40814,35.67797,12.4874851049684,2.299039737,1.600367961
1999,139.4083,35.67726,NA,NA,NA
1999,139.40979,35.67996,12.4529327234617,2.040936732,1.777566327
1999,139.40986,35.69363,12.8790171187726,0.641113193,0.596292871
1999,139.4113,35.66887,12.502466658584,3.234730122,0.833445688
